name
Abarth 500 1.4 16v T-Jet  2008 - 2012
Alfa Romeo 145 1.4 i.e. L  1994 - 1997
Alfa Romeo 145 1.4 i.e. Basis  1996 - 1997
Abarth 500C 1.4 16v T-Jet  2011 - 2012
Abarth 500C 1.4 16v T-Jet Competizione  2010 - 2012
Alfa Romeo 145 1.4 i.e.  1994 - 1997
Abarth Punto Evo 1.4 T-Jet 16v  2010 - 2013
Abarth Grande Punto 1.4 T-Jet 16v  2008 - 2010
Abarth Punto Evo 1.4 T-Jet 16v SuperSport  2012 - 2014
name
Abarth 500 1.4 16v T-Jet  2008 - 2012
Abarth Punto Evo 1.4 T-Jet 16v SuperSport  2012 - 2014
Abarth 500C 1.4 16v T-Jet  2011 - 2012
Abarth Punto Evo 1.4 T-Jet 16v  2010 - 2013
Abarth Grande Punto 1.4 T-Jet 16v  2008 - 2010
Alfa Romeo 145 1.4 i.e.  1994 - 1997
Abarth 500C 1.4 16v T-Jet Competizione  2010 - 2012
Alfa Romeo 145 1.4 i.e. Basis  1996 - 1997
Alfa Romeo 145 1.4 i.e. L  1994 - 1997
max_torqe_rpm,torque,name,power
,"<div class=""col-6"">206 Nm</div>",Abarth 500 1.4 16v T-Jet  2008 - 2012,"<div class=""col-6"">5500 rpm</div>"
,"<div class=""col-6"">206 Nm</div>",Abarth 500C 1.4 16v T-Jet  2011 - 2012,"<div class=""col-6"">5500 rpm</div>"
,"<div class=""col-6"">115 Nm</div>",Alfa Romeo 145 1.4 i.e. Basis  1996 - 1997,"<div class=""col-6"">6000 rpm</div>"
,"<div class=""col-6"">201 Nm</div>",Abarth Grande Punto 1.4 T-Jet 16v  2008 - 2010,"<div class=""col-6"">5750 rpm</div>"
,"<div class=""col-6"">206 Nm</div>",Abarth 500C 1.4 16v T-Jet Competizione  2010 - 2012,"<div class=""col-6"">5000 rpm</div>"
,"<div class=""col-6"">115 Nm</div>",Alfa Romeo 145 1.4 i.e. L  1994 - 1997,"<div class=""col-6"">6000 rpm</div>"
,"<div class=""col-6"">115 Nm</div>",Alfa Romeo 145 1.4 i.e.  1994 - 1997,"<div class=""col-6"">6000 rpm</div>"
,"<div class=""col-6"">250 Nm</div>",Abarth Punto Evo 1.4 T-Jet 16v  2010 - 2013,"<div class=""col-6"">5500 rpm</div>"
,"<div class=""col-6"">270 Nm</div>",Abarth Punto Evo 1.4 T-Jet 16v SuperSport  2012 - 2014,"<div class=""col-6"">5750 rpm</div>"
maxPowerRpm,torque,name,power,maxTorqueRpm
"<div class=""col-6"">99 kW (135 hp)</div>","<div class=""col-6"">206 Nm</div>",Abarth 500 1.4 16v T-Jet  2008 - 2012,"<div class=""col-6"">5500 rpm</div>","<div class=""col-6"">3000 rpm</div>"
"<div class=""col-6"">114 kW (155 hp)</div>","<div class=""col-6"">201 Nm</div>",Abarth Grande Punto 1.4 T-Jet 16v  2008 - 2010,"<div class=""col-6"">5750 rpm</div>","<div class=""col-6"">3000 rpm</div>"
"<div class=""col-6"">132 kW (180 hp)</div>","<div class=""col-6"">270 Nm</div>",Abarth Punto Evo 1.4 T-Jet 16v SuperSport  2012 - 2014,"<div class=""col-6"">5750 rpm</div>","<div class=""col-6"">2500 rpm</div>"
"<div class=""col-6"">99 kW (135 hp)</div>","<div class=""col-6"">206 Nm</div>",Abarth 500C 1.4 16v T-Jet  2011 - 2012,"<div class=""col-6"">5500 rpm</div>","<div class=""col-6"">3000 rpm</div>"
"<div class=""col-6"">121 kW (165 hp)</div>","<div class=""col-6"">250 Nm</div>",Abarth Punto Evo 1.4 T-Jet 16v  2010 - 2013,"<div class=""col-6"">5500 rpm</div>","<div class=""col-6"">2250 rpm</div>"
"<div class=""col-6"">66 kW (90 hp)</div>","<div class=""col-6"">115 Nm</div>",Alfa Romeo 145 1.4 i.e.  1994 - 1997,"<div class=""col-6"">6000 rpm</div>","<div class=""col-6"">4400 rpm</div>"
"<div class=""col-6"">66 kW (90 hp)</div>","<div class=""col-6"">115 Nm</div>",Alfa Romeo 145 1.4 i.e. L  1994 - 1997,"<div class=""col-6"">6000 rpm</div>","<div class=""col-6"">4400 rpm</div>"
"<div class=""col-6"">66 kW (90 hp)</div>","<div class=""col-6"">115 Nm</div>",Alfa Romeo 145 1.4 i.e. Basis  1996 - 1997,"<div class=""col-6"">6000 rpm</div>","<div class=""col-6"">4400 rpm</div>"
"<div class=""col-6"">103 kW (140 hp)</div>","<div class=""col-6"">206 Nm</div>",Abarth 500C 1.4 16v T-Jet Competizione  2010 - 2012,"<div class=""col-6"">5000 rpm</div>","<div class=""col-6"">2000 rpm</div>"
maxPowerRpm,torque,name,power,maxTorqueRpm
99 kW (135 hp),206 Nm,Abarth 500 1.4 16v T-Jet  2008 - 2012,5500 rpm,3000 rpm
114 kW (155 hp),201 Nm,Abarth Grande Punto 1.4 T-Jet 16v  2008 - 2010,5750 rpm,3000 rpm
66 kW (90 hp),115 Nm,Alfa Romeo 145 1.4 i.e.  1994 - 1997,6000 rpm,4400 rpm
99 kW (135 hp),206 Nm,Abarth 500C 1.4 16v T-Jet  2011 - 2012,5500 rpm,3000 rpm
103 kW (140 hp),206 Nm,Abarth 500C 1.4 16v T-Jet Competizione  2010 - 2012,5000 rpm,2000 rpm
132 kW (180 hp),270 Nm,Abarth Punto Evo 1.4 T-Jet 16v SuperSport  2012 - 2014,5750 rpm,2500 rpm
66 kW (90 hp),115 Nm,Alfa Romeo 145 1.4 i.e. L  1994 - 1997,6000 rpm,4400 rpm
66 kW (90 hp),115 Nm,Alfa Romeo 145 1.4 i.e. Basis  1996 - 1997,6000 rpm,4400 rpm
121 kW (165 hp),250 Nm,Abarth Punto Evo 1.4 T-Jet 16v  2010 - 2013,5500 rpm,2250 rpm
